"Rank","Player","Position","Position Rank","ADP on March 18","ADP on March 25","ADP Change"
474,"Roman Wilson","WR","WR144",240,240,0
475,"Sione Vaki","RB","RB110",239.9,240,0.1
476,"Tahj Washington","WR","WR163",240,240,0
477,"Tai Felton","WR","WR138",239.9,240,0.1
478,"Tanner McKee","QB","QB54",240,240,0
479,"Taysom Hill","TE","TE63",240,240,0
480,"Terion Stewart","RB","RB106",240,240,0
481,"Trey Lance","QB","QB51",240,240,0
482,"Trinidad Chambliss","QB","QB60",240,240,0
483,"Tyler Scott","WR","WR149",240,240,0
484,"Tyrell Shavers","WR","WR165",240,240,0
485,"Tyson Bagent","QB","QB57",240,240,0
486,"Van Jefferson","WR","WR154",240,240,0
487,"Will Howard","QB","QB57",239.9,240,0.1
488,"Will Levis","QB","QB56",240,240,0
489,"Xavier Hutchinson","WR","WR137",240,240,0
490,"Zach Ertz","TE","TE65",239.9,240,0.1
